link_id,src_bus_id,dst_bus_id,voltage,circuits,dc,underground,under_construction,length_m,tags,src_coord,dst_coord,src_country,dst_country
2095,1426,7671,220,1,f,f,f,42067.696942,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'10225'  't9_code'=>' '  'visible'=>'1'  'objectid'=>'0'  'tie_line'=>'0'  'country_1'=>'DZ'  'country_2'=>'DZ'  'shape_leng'=>'0',"(7.81127899999999, 36.75649)","(7.41577099999999, 36.544949)",DZ,DZ
10170,6767,7671,220,2,f,f,f,45268.795402,,"(7.481689, 36.438961)","(7.41577099999999, 36.544949)",,
4751,2736,7672,220,2,f,f,f,7288.206501,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'1963'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2136'  'tie_line'=>'0'  'country_1'=>'DE'  'country_2'=>'DE',"(7.998047, 51.055207)","(8.03100599999999, 50.993014)",DE,DE
4410,2741,7672,220,2,f,f,f,11924.961764,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'1622'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'1738'  'tie_line'=>'0'  'country_1'=>'DE'  'country_2'=>'DE',"(8.05297900000001, 50.882243)","(8.03100599999999, 50.993014)",DE,DE
4250,2743,7672,220,2,f,f,f,17662.550977,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits with 1 Circuit Mounted'  'ogc_fid'=>'1461'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'1565'  'tie_line'=>'0'  'country_1'=>'DE'  'country_2'=>'DE',"(8.25073199999999, 50.930738)","(8.03100599999999, 50.993014)",DE,DE
5877,7632,7673,220,1,f,f,f,13341.304786,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'3285'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'3565'  'tie_line'=>'0'  'country_1'=>'SE'  'country_2'=>'SE',"(15.490723, 63.194018)","(15.743408, 63.154355)",SE,SE
8413,3797,7673,220,1,f,f,f,11096.106575,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'7470'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'3424'  'tie_line'=>'0'  'country_1'=>'SE'  'country_2'=>'SE',"(15.809326, 63.248467)","(15.743408, 63.154355)",SE,SE
5918,3801,7673,220,1,f,f,f,19368.705732,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'3326'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'3612'  'tie_line'=>'0'  'country_1'=>'SE'  'country_2'=>'SE',"(16.105957, 63.094758)","(15.743408, 63.154355)",SE,SE
8498,7568,7675,380,1,f,f,f,9726.878591,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  1 Circuit'  'ogc_fid'=>'7614'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2473'  'tie_line'=>'0'  'country_1'=>'SK'  'country_2'=>'SK',"(20.983887, 48.654686)","(21.049805, 48.734455)",SK,SK
8733,3708,7675,380,1,f,f,f,7066.833535,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  1 Circuit'  'ogc_fid'=>'8370'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'2473'  'tie_line'=>'0'  'country_1'=>'SK'  'country_2'=>'SK',"(21.082764, 48.669199)","(21.049805, 48.734455)",SK,SK
